customer_id,gender,age,senior_citizen,married,num_dependents,zip_code,city,latitutde,longitude,population,churn_status,churn_label,churn_category,churn_reason,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds
0013-EXCHZ,Female,75,1,1,0,93010,Camarillo,34.227846,-119.079903,42853,1.0,1.0,Dissatisfaction,Network reliability,BFIN-DLMOA,3,3,1,Fiber Optic,1,1,0,1,0,0,0,Month-to-Month,1,Credit Card,7.38,22.14,11,1,0,0,83.9,267.4,0.0
0014-BMAQU,Male,52,0,1,0,94558,Napa,38.489789,-122.27011,63947,0.0,0.0,,,AFEO-XOOCP,63,8,1,Fiber Optic,0,1,1,1,1,0,0,Two Year,1,Credit Card,12.96,816.48,7,0,0,0,84.65,5377.8,0.0
0016-QLJIS,Female,43,0,1,1,95681,Sheridan,38.984756,-121.345074,1219,0.0,0.0,,,DEMQ-MFXWC,65,3,1,Cable,1,1,1,1,1,1,1,Two Year,1,Credit Card,28.46,1849.9,14,1,1,1,90.45,5957.9,0.0
0019-EFAEP,Female,32,0,0,0,91942,La Mesa,32.782501,-117.01611,24005,0.0,0.0,,,AIPP-VTDXJ,72,0,1,Fiber Optic,1,1,1,0,1,1,1,Two Year,1,Bank Withdrawal,2.25,162.0,16,1,0,0,101.3,7261.25,0.0
0019-GFNTW,Female,39,0,0,0,93441,Los Olivos,34.70434,-120.02609,1317,0.0,0.0,,,CJHA-SRKIB,56,0,1,DSL,1,0,0,1,1,1,1,Two Year,0,Bank Withdrawal,0.0,0.0,19,0,0,0,45.05,2560.1,0.0
0020-INWCK,Female,58,0,1,2,93286,Woodlake,36.464635,-119.094348,8870,0.0,0.0,,,CDSG-JLJOW,71,9,1,Fiber Optic,1,1,1,0,0,1,1,Two Year,1,Credit Card,27.26,1935.46,12,0,1,1,95.75,6849.4,0.0
0036-IHMOT,Female,37,0,1,3,93648,Parlier,36.622237,-119.521126,12587,0.0,0.0,,,EDRJ-TSFHQ,55,10,1,Fiber Optic,0,1,0,1,0,1,1,One Year,1,Bank Withdrawal,35.04,1927.2,57,1,1,1,103.7,5656.75,0.0
0052-DCKON,Male,28,0,1,0,90063,Los Angeles,34.044271,-118.185237,55668,0.0,0.0,,,GGNP-KVFOQ,66,9,1,Fiber Optic,1,1,1,1,1,1,1,One Year,0,Bank Withdrawal,43.77,2888.82,41,1,1,1,115.8,7942.15,0.0
0052-YNYOT,Female,28,0,0,0,92231,Calexico,32.690654,-115.431225,27804,0.0,0.0,,,BTJY-YSXTR,67,0,0,None,0,1,0,0,0,0,0,One Year,0,Bank Withdrawal,23.12,1549.04,0,0,0,0,20.55,1343.4,30.53
0060-FUALY,Female,60,0,1,0,90003,Los Angeles,33.964131,-118.272783,58198,0.0,0.0,,,AUVC-CVWLX,59,4,1,Fiber Optic,1,1,1,0,1,1,0,Month-to-Month,1,Bank Withdrawal,16.39,967.01,14,1,0,0,94.75,5597.65,0.0
