gender,age,senior_citizen,num_dependents,zip_code,tenure_months,num_referrals,total_monthly_fee,total_charges_quarter,contract_type,churn_label
0,75,1,0,93010,3,3,83.9,267.4,Month-to-Month,1
1,52,0,0,94558,63,8,84.65,5377.8,Two Year,0
0,43,0,1,95681,65,3,90.45,5957.9,Two Year,0
0,32,0,0,91942,72,0,101.3,7261.25,Two Year,0
0,39,0,0,93441,56,0,45.05,2560.1,Two Year,0
0,58,0,2,93286,71,9,95.75,6849.4,Two Year,0
0,37,0,3,93648,55,10,103.7,5656.75,One Year,0
1,28,0,0,90063,66,9,115.8,7942.15,One Year,0
0,28,0,0,92231,67,0,20.55,1343.4,One Year,0
0,60,0,0,90003,59,4,94.75,5597.65,Month-to-Month,0
1,54,0,0,94515,1,0,44.3,44.3,Month-to-Month,0
1,50,0,0,95230,29,0,94.2,2607.6,Month-to-Month,0
1,25,0,0,96134,64,0,81.25,5567.55,One Year,0
1,51,0,0,92241,40,0,104.5,4036.85,Month-to-Month,1
1,66,1,0,90744,70,3,104.8,7308.95,One Year,0
1,32,0,0,95255,1,0,19.85,19.85,Month-to-Month,1
1,71,1,1,92256,32,9,93.95,2861.45,One Year,0
1,61,0,0,93563,49,1,84.35,4059.35,One Year,1
0,29,0,0,92122,7,0,73.85,511.25,Month-to-Month,1
1,55,0,0,95443,66,0,89.4,5976.9,Month-to-Month,0
0,24,0,0,95204,3,0,19.85,63.75,Month-to-Month,1
0,77,1,0,92028,27,0,86.45,2401.05,Two Year,0
1,54,0,1,95379,47,7,87.2,4017.45,Month-to-Month,0
0,56,0,2,93616,27,6,74.4,1972.35,Month-to-Month,0
0,59,0,0,95612,9,0,75.2,633.85,Month-to-Month,0
1,22,0,1,92203,71,1,100.55,7113.75,One Year,0
1,33,0,0,93033,30,2,19.8,576.65,One Year,0
1,53,0,0,93611,72,0,69.65,4908.25,Two Year,0
1,38,0,0,91364,66,1,56.6,3789.2,Two Year,0
0,62,0,0,92655,50,4,109.65,5405.8,Month-to-Month,0
0,37,0,0,94619,46,0,84.25,3847.6,Month-to-Month,0
0,35,0,1,94960,72,4,92.65,6733.0,Two Year,0
0,19,0,0,90241,72,0,109.9,7624.2,Two Year,0
0,44,0,3,95925,67,1,50.55,3431.75,One Year,0
0,41,0,0,95664,3,0,19.75,58.85,Month-to-Month,1
1,62,0,2,91345,72,1,69.85,5102.35,Two Year,0
1,56,0,0,94060,63,2,19.95,1234.8,Two Year,0
